id,title,vote_average,vote_count,release_date,revenue,runtime,budget,popularity,genres
22794,Cloudy with a Chance of Meatballs,6.6,5461,17/09/2009,242988466,90,100000000,33.074,"Animation, Comedy, Family"
12092,Alice in Wonderland,7.185,5459,28/07/1951,57200000,75,3000000,54.201,"Animation, Family, Fantasy, Adventure"
10895,Pinocchio,7.102,5440,23/02/1940,84300000,88,2600000,34.383,"Animation, Family"
83666,Moonrise Kingdom,7.69,5434,16/05/2012,68263166,94,16000000,19.062,"Comedy, Drama, Romance"
80274,Ender's Game,6.59,5432,24/10/2013,125537191,114,110000000,25.865,"Science Fiction, Action, Adventure"
1813,The Devil's Advocate,7.451,5429,17/10/1997,152944660,144,57000000,28.22,"Drama, Mystery, Thriller, Horror"
346685,The Girl on the Train,6.434,5427,05/10/2016,173185859,112,45000000,15.235,"Thriller, Mystery, Drama, Crime"
460465,Mortal Kombat,7.081,5427,07/04/2021,84426031,110,20000000,49.774,"Action, Fantasy, Adventure"
7131,Van Helsing,6.324,5410,05/05/2004,300257475,132,160000000,45.54,"Horror, Adventure, Action"
423108,The Conjuring: The Devil Made Me Do It,7.491,5407,25/05/2021,206431050,111,39000000,152.616,"Horror, Mystery, Thriller"
755,From Dusk Till Dawn,7,5407,19/01/1996,25836616,108,19000000,29.005,"Horror, Action, Thriller, Crime"
389015,"I, Tonya",7.501,5405,08/12/2017,53939297,120,11000000,16.904,"Drama, Comedy"
76493,The Dictator,6.173,5401,15/05/2012,179379533,83,65000000,31.301,Comedy
334541,Manchester by the Sea,7.5,5396,18/11/2016,78988148,138,9000000,22.316,Drama
1927,Hulk,5.5,5392,19/06/2003,245360480,138,137000000,39.705,"Science Fiction, Adventure, Action"
181886,Enemy,6.873,5383,31/12/2013,3396726,91,0,18.187,"Thriller, Mystery"
445571,Game Night,6.85,5372,15/02/2018,117501013,100,37000000,18.92,"Mystery, Comedy, Crime"
228967,The Interview,6.185,5370,25/12/2014,12342632,113,44000000,54.384,"Action, Comedy"
8488,Hitch,6.551,5367,11/02/2005,371600000,118,70000000,23.127,"Comedy, Drama, Romance"
1571,Live Free or Die Hard,6.606,5365,20/06/2007,383531464,128,110000000,33.523,"Action, Thriller"
324668,Jason Bourne,6.329,5362,27/07/2016,415484914,123,120000000,28.778,"Action, Thriller, Mystery, Drama"
260346,Taken 3,6.234,5360,16/12/2014,325771424,109,48000000,86.527,"Thriller, Action"
2034,Training Day,7.485,5360,05/10/2001,104876233,122,45000000,30.21,"Action, Crime, Drama"
159824,Hotel Transylvania 2,6.8,5338,21/09/2015,473226958,89,80000000,36.252,"Animation, Comedy, Family, Fantasy"
628,Interview with the Vampire,7.38,5338,11/11/1994,223664608,123,60000000,39.342,"Horror, Drama, Fantasy"
8247,Jumper,6.142,5337,13/02/2008,222231186,88,85000000,26.527,"Action, Adventure, Science Fiction"
49040,The Bourne Legacy,6.216,5337,08/08/2012,276572938,135,130000000,32.088,"Action, Thriller"
274857,King Arthur: Legend of the Sword,6.536,5333,10/05/2017,148675066,126,175000000,33.349,"Action, Drama, Fantasy"
140300,Kung Fu Panda 3,6.878,5327,23/01/2016,521170825,95,145000000,45.002,"Action, Adventure, Animation, Comedy, Family"
235,Stand by Me,7.856,5317,08/08/1986,52287414,89,8000000,28.659,"Crime, Drama"
3049,Ace Ventura: Pet Detective,6.544,5315,04/02/1994,107217396,86,15000000,28.829,"Comedy, Adventure"
10530,Pocahontas,6.926,5306,14/06/1995,346079773,81,55000000,37.713,"Adventure, Animation, Family, Romance"
39513,Paul,6.708,5300,14/02/2011,97984015,104,40000000,22.43,"Adventure, Comedy, Science Fiction"
388,Inside Man,7.399,5297,17/03/2006,186003591,129,45000000,24.586,"Crime, Drama, Thriller"
400106,Bright,6.156,5296,22/12/2017,0,117,90000000,18.138,"Fantasy, Action, Thriller"
